ID;group;score;subscore1;subscore2;;
1;student;73;63;83;;
2;student;75;65;85;;
3;student;76;66;86;;
4;student;78;68;88;;
5;student;75;65;85;;
6;student;71;61;81;;
7;student;64;54;74;;
8;student;68;58;78;;
9;student;75;65;85;;
10;student;77;67;87;;
11;student;77;67;87;;
12;student;79;69;89;;
13;student;81;71;91;;
14;student;75;65;85;;
15;student;74;64;84;;
16;student;72;62;82;;
17;student;77;67;87;;
18;student;71;61;81;;
19;student;78;68;88;;
20;student;73;63;83;;
21;student;76;66;86;;
22;student;75;65;85;;
23;student;78;68;88;;
24;student;78;68;88;;
25;student;71;61;81;;
26;student;70;60;80;;
27;student;69;59;89;;
28;student;70;60;80;;
29;student;71;61;81;;
30;student;69;59;79;;
31;student;74;64;84;;
32;student;76;66;86;;
33;student;71;61;81;;
34;student;69;59;79;;
35;chatbot;78;81;75;;
36;chatbot;82;79;85;;
37;chatbot;92;89;95;;
38;chatbot;94;97;91;;
39;chatbot;85;88;82;;